# AUTHOR: CALIFA collaboration
# SOURCE: Own analysis of SDSSS imaging 
# DATE: 2014-09-09
# VERSION: 1.0 
# COLAPRV: CJW
# PUBAPRV: None 
# COLUMN1: CALIFAID, int, , ID of the CALIFA galaxy 
# COLUMN2: REALNAME, string , Galaxy name 
# COLUMN3: DBName, string, , Name in CALIFA database 
# COLUMN4: ra, float, degrees, right ascension J2000.0 
# COLUMN5: de, float, degrees, declination J2000.0
# COLUMN6: hubtyp, string, , Hubble type S or E
# COLUMN7: hubsubtyp, string, , Hubble subtype 0-7 or a-d
# COLUMN8: minhubtyp, string, , Minimum Hubble type 
# COLUMN9: minhubsubtyp, string, , Minimum Hubble subtype 
# COLUMN10: maxhubtyp, string, , Maximum Hubble type
# COLUMN11: maxhubsubtyp, string, , Maximum Hubble subtype
# COLUMN12: bar, String, Barredness A or AB or B
# COLUMN13: minbar, String, , Minimum barredness
# COLUMN14: maxbar, String, , Maximum barredness 
# COLUMN15: merg, string, , Merging (M) or Isolated (I)
# COLUMN16: minmerg , String, , Min Merging (M) or Isolated (I)
# COLUMN17: maxmerg , String, , Max Merging (M) or Isolated (I)
    146, UGC03253, UGC03253,      79.9245224,      84.0526199, S, b, S, ab, S, c, B, B, B, I, I, I
    147, NGC2253, NGC2253,     100.9243164,      65.2063828, S, bc, S, c, S, d, B, A, B, I, I, I
    148, UGC03539, UGC03539,     102.2250137,      66.2616272, S, c, S, b, S, d, AB, A, B, I, I, I
    149, NGC2347, NGC2347,     109.0170288,      64.7113266, S, bc, S, ab, S, c, AB, A, B, I, I, I
    150, UGC03899, UGC03899,     113.1572876,      35.6144791, S, d, S, c, S, m, A, A, AB, I, I, I
    151, NGC2410, NGC2410,     113.7594223,      32.8221016, S, b, S, a, S, bc, AB, A, B, I, I, I
    152, UGC03944, UGC03944,     114.6521072,      37.6335106, S, bc, S, ab, S, cd, AB, A, B, I, I, I
    153, UGC03969, UGC03969,     115.3097610,      27.6140709, S, b, S, a, S, d, A, A, AB, I, I, I
    154, UGC03973, UGC03973,     115.6367569,      49.8096619, S, bc, S, b, S, cd, B, B, B, I, I, I
    155, UGC03995, UGC03995,     116.0380325,      29.2474308, S, b, S, ab, S, c, B, A, B, I, I, M
    156, NGC2449, NGC2449,     116.8345795,      26.9302006, S, ab, S, a, S, b, AB, A, B, I, I, I
